,kanwil,cabang,jalan,des_kec,kab_prov,telepon
3257,UPC LABANG,CP BANGKALAN,JALAN RAYA LABANG DS. LABANG,"Labang, Labang","Bangkalan, Jawa Timur",0313015211
3258,UPC DUNGKEK,CP PAMOLOKAN,"JALAN RAYA PELABUHAN DUNGKEK,DESA LAPA LAOK","Lapa Taman, Dungkek","Sumenep, Jawa Timur",03217706113
3259,UPC MANDING,CP PAMOLOKAN,JALAN RAYA MANDING KM.8 DUSUN MANDING LAOK,"Gunung Kembar, Manding","Sumenep, Jawa Timur",087702072400
3260,UPC RUBARU,CP PAMOLOKAN,"JALAN RAYA RUBARU NO. 76,DUSUN KOMBIRA","Rubaru, Rubaru","Sumenep, Jawa Timur",032866660
3261,UPC DIPONEGORO,CP PAMOLOKAN,"JALAN DIPONEGORO 132,BANGSELOK, SUMENEP","Pajagalan, Kota Sumenep","Sumenep, Jawa Timur",085233504264
3262,UPC DASUK,CP PAMOLOKAN,"JALAN RAYA DASUK NO. 09,DUSUN KERTA TIMUR","Kecer, Dasuk","Sumenep, Jawa Timur",087850563766
3263,UPC BATU PUTIH,CP PAMOLOKAN,"JALAN ARYA WIRARAJA NO.45,BATUPUTIH LAOK","Badur, Batuputih","Sumenep, Jawa Timur",03217704534
3264,UPC GAPURA,CP PAMOLOKAN,JALAN RAYA GAPURA DUSUN TALESEK,"Gapura Barat, Gapura","Sumenep, Jawa Timur",087702078525
3265,UPC SEPULU,CP KETAPANG,JALAN RAYA SEPULU - BANGKALAN,"Sepulu, Sepulu","Bangkalan, Jawa Timur",0313079869
3266,UPC TELAGABIRU,CP KETAPANG,JALAN KETAPANG - TELAGABIRU,"Telaga/Tlaga Biru, Tanjungbumi","Bangkalan, Jawa Timur",0313071275
3267,UPC BANYUATES,CP KETAPANG,JALAN RAYA BANYUATES,"Banyuates, Banyuates","Sampang, Jawa Timur",085655998601
3268,UPC KOKOP,CP KETAPANG,JALAN H. MUKTI NO.300,"Dupok, Kokop","Bangkalan, Jawa Timur",081249469542
3269,UPC BRINGKONENG,CP KETAPANG,JALAN BRINGKONENG,"Tlagah, Banyuates","Sampang, Jawa Timur",082330530530
3270,UPC BANYUSANGKA,CP KETAPANG,JALAN RAYA BANGKALAN-TANJUNGBUMI,"Banyu Sangkah, Tanjungbumi","Bangkalan, Jawa Timur",082132398943
3271,UPC KETAPANG II,CP KETAPANG,JL RAYA KETAPANG - MANDIRE - SAMPANG - MADURA,"Ketapang Timur, Ketapang","Sampang, Jawa Timur",087849577886
3272,UPC LEMPONG,CP KETAPANG,JL. RAYA PASAR LEMPONG - SAMPANG - MADURA,"Bunten Barat, Ketapang","Sampang, Jawa Timur",082334468959
3273,CP SITUBONDO,Wilayah 12 Surabaya,JALAN A. YANI NOMOR 125,"Dawuhan, Situbondo","Situbondo, Jawa Timur",0338671575
3274,CP BESUKI,Wilayah 12 Surabaya,JL. RAYA BESUKI NO. 565 BESUKI,"Besuki, Besuki","Situbondo, Jawa Timur",0338891533
3275,CP PROBOLINGGO,Wilayah 12 Surabaya,JL RAYA PANGLIMA SUDIRMAN NO 75,"Kebonsari Kulon, Mayangan","Probolinggo, Jawa Timur",0335421268
3276,CP KRAKSAAN,Wilayah 12 Surabaya,JALAN RAYA PANGSUD KRAKSAAN,"Patokan, Kraksaan","Probolinggo, Jawa Timur",0335841076
3277,CP LUMAJANG,Wilayah 12 Surabaya,JALAN PB SUDIRMAN NO.26,"Tompokersan, Lumajang","Lumajang, Jawa Timur",0334881766
3278,CP PASURUAN,Wilayah 12 Surabaya,JALAN DEWI SARTIKA NO. 01,"Bangilan, Purworejo","Pasuruan, Jawa Timur",0343421060
3279,CP PANDAAN,Wilayah 12 Surabaya,JALAN URIP SUMOHARJO NO. 39,"Pandaan, Pandaan","Pasuruan, Jawa Timur",0343631884
3280,UPC MANGARAN,CP SITUBONDO,JALAN RAYA MANGARAN,"Mangaran, Mangaran","Situbondo, Jawa Timur",0338678400
3281,UPC PRAJEKAN,CP SITUBONDO,JALAN RAYA PRAJEKAN NO 1,"Prajekan Lor, Prajekan","Bondowoso, Jawa Timur",0332560651
3282,UPC PANARUKAN,CP SITUBONDO,DESA WRINGIN ANOM PANARUKAN,"Wringinanom, Panarukan","Situbondo, Jawa Timur",0338672476
3283,UPC PAITON,CP BESUKI,"JL. RAYA NO. 124 PAITON, PROBOLINGGO","Paiton, Paiton","Probolinggo, Jawa Timur",0335771681
3284,UPC KOTA ANYAR,CP BESUKI,JL. RAYA KOTAANYAR KM 3 KOTAANYAR,"Kota Anyar, Kota Anyar","Probolinggo, Jawa Timur",0335772440
3285,UPC GOTONGROYONG,CP PROBOLINGGO,JALAN WR SUPRATMAN RUKO 3 GOTONG ROYONG PROBOLINGGO,"Mangunharjo, Mayangan","Probolinggo, Jawa Timur",03354438968
3286,UPC KADEMANGAN,CP PROBOLINGGO,JALAN KADEMANGAN NO.116 PROBOLINGGO,"Kademangan, Kademangan","Probolinggo, Jawa Timur",0335424364
3287,UPC TONGAS,CP PROBOLINGGO,JALAN RAYA TONGAS PROBOLINGGO,"Wringinanom, Tongas","Probolinggo, Jawa Timur",0335511096
3288,UPC DRINGU,CP PROBOLINGGO,JALAN RAYA DRINGU NO.1 DRINGU PROBOLINGGO,"Kalisalam, Dringu","Probolinggo, Jawa Timur",0335424645
3289,UPC PAJARAKAN,CP KRAKSAAN,JALAN RAYA PAJARAKAN 158,"Sukomulyo, Pajarakan","Probolinggo, Jawa Timur",0335841450
3290,UPC PASAR WANGKAL,CP KRAKSAAN,JALAN RAYA PASAR WANGKAL,"Wangkal, Gading","Probolinggo, Jawa Timur",03354514040
3291,UPC MARON,CP KRAKSAAN,JALAN RAYA MARON KIDUL,"Maron Kidul, Maron","Probolinggo, Jawa Timur",0335611350
3292,UPC JABUNG,CP KRAKSAAN,JALAN RAYA JABUNG 30 PAITON,"Jabung Wetan, Paiton","Probolinggo, Jawa Timur",0335771197
3293,UPC PASAR SEMAMPIR,CP KRAKSAAN,JALAN MT HARYONO BARAT PASAR SEMAMPIR,"Bulu, Kraksaan","Probolinggo, Jawa Timur",0335846388
3294,UPC PASIRIAN,CP LUMAJANG,JALAN RAYA PASIRIAN,"Pasirian, Pasirian","Lumajang, Jawa Timur",03345761050
3295,UPC YOSOWILANGUN,CP LUMAJANG,JALAN MAYJEND SOEKARTIJO NO.197,"Yosowilangun Lor, Yosowilangun","Lumajang, Jawa Timur",0334390067
3296,UPC KENCONG,CP LUMAJANG,JL. KRAKATAU NO.179,"Kencong, Kencong","Jember, Jawa Timur",0336322747
3297,UPC PASAR JATIROTO,CP LUMAJANG,DSN PERSIL JATIROTO,"Jatiroto, Jatiroto","Lumajang, Jawa Timur",0334321022
3298,UPC KLAKAH,CP LUMAJANG,JALAN RAYA KLAKAH,"Mlawang, Klakah","Lumajang, Jawa Timur",082141792845
3299,UPC PASAR KEBON AGUNG,CP PASURUAN,STAND DALAM PASAR KEBON AGUNG WB/77,"Kebonagung, Purworejo","Pasuruan, Jawa Timur",0343411960
3300,UPC NGOPAK,CP PASURUAN,JALAN RAYA NGOPAK NO. 124,"Arjosari, Rejoso","Pasuruan, Jawa Timur",0343482187
3301,UPC PASAR BESAR,CP PASURUAN,JALAN LAKSAMANA MARTADINATA RUKO 3,"Mayangan, Purworejo","Pasuruan, Jawa Timur",03435645310
3302,UPC WARUNGDOWO,CP PASURUAN,JALAN RAYA POHJENTREK,"Warung Dowo, Pohjentrek","Pasuruan, Jawa Timur",0343426613
3303,UPC WONOREJO,CP PASURUAN,JALAN RAYA WONOREJO DSN KIDUL DALEM,"Wonorejo, Wonorejo","Pasuruan, Jawa Timur",0343612678
3304,UPC GONDANGWETAN,CP PASURUAN,JALAN RAYA GONDANGWETAN,"Gondang Wetan, Gondang Wetan","Pasuruan, Jawa Timur",0343441170
3305,UPC WINONGAN,CP PASURUAN,JALAN RAYA BANDARAN,"Winongan Kidul, Winongan","Pasuruan, Jawa Timur",0343441746
3306,UPC KRATON,CP PASURUAN,JALAN STASIUN I NO.36,"Kraton, Kraton","Pasuruan, Jawa Timur",0343426542
3307,UPC PASAR KRATON,CP PASURUAN,JALAN GATOT SUBROTO NO.01,"Gadingrejo, Gadingrejo","Pasuruan, Jawa Timur",0343432107
3308,UPC BANGIL,CP PANDAAN,JALAN PEMBANGUNAN NO.01,"Latek, Bangil","Pasuruan, Jawa Timur",0343741394
3309,UPC PASAR BARU,CP PANDAAN,JALAN MANGGA NO.554,"Latek, Bangil","Pasuruan, Jawa Timur",0343746226
3310,UPC GEMPOL,CP PANDAAN,JALAN RAYA WONOAYU NO.26,"Gempol, Gempol","Pasuruan, Jawa Timur",0343851498
3311,UPC SUKOREJO,CP PANDAAN,JALAN RAYA SUKOREJO NO. 8,"Glagah Sari, Sukorejo","Pasuruan, Jawa Timur",0343612804
3312,UPC PRIGEN,CP PANDAAN,KOMPLEK RUKO TAMAN DAYU D-9,"Karang Jati, Pandaan","Pasuruan, Jawa Timur",03435640082
3313,CP BENTENG,Wilayah 12 Surabaya,JALAN BENTENG NO.01,"Nyamplungan, Pabean Cantikan","Surabaya, Jawa Timur",0313522914
3314,CP LAMONGAN,Wilayah 12 Surabaya,JALAN BASUKI RAHMAT NO 34,"Sukomulyo, Lamongan","Lamongan, Jawa Timur",0322321178
3315,CP SEDAYU,Wilayah 12 Surabaya,JALAN KANJENG PANGERAN SEPUH,"Pengulu, Sidayu","Gresik, Jawa Timur",0313949189
3316,CP GRESIK,Wilayah 12 Surabaya,JALAN PANGLIMA SUDIRMAN NO.2,"Sidokumpul, Gresik","Gresik, Jawa Timur",0313981440
3317,CP MULYOSARI,Wilayah 12 Surabaya,JALAN RAYA MULYOSARI NO.192 SURABAYA,"Kalisari, Mulyorejo","Surabaya, Jawa Timur",0315929852
3318,CP BRATANG,Wilayah 12 Surabaya,RUKO RMI JL. NGAGEL JAYA SELATAN J-7,"Baratajaya, Gubeng","Surabaya, Jawa Timur",0315015108
3319,CP DINOYOTANGSI,Wilayah 12 Surabaya,"JL.DINOYO NO.81, SURABAYA","Keputran, Tegalsari","Surabaya, Jawa Timur",0315678125
3320,CP WONOKROMO,Wilayah 12 Surabaya,JALAN RAYA WONOKROMO 103,"Jagir, Wonokromo","Surabaya, Jawa Timur",0318417491
3321,CP KALIANYAR,Wilayah 12 Surabaya,JALAN KAPASARI NO.7,"Kapasari, Genteng","Surabaya, Jawa Timur",0313710476
3322,UPC MALL DELTA PLAZA,CP DINOYOTANGSI,"MALL DELTA PLAZA SURABAYA, JALAN PEMUDA NO 31-37","Kandangan, Benowo","Surabaya, Jawa Timur",0315450822
3323,UPC TUNJUNGAN PLAZA,CP DINOYOTANGSI,JALAN BASUKI RAHMAT,"Tegalsari, Tegalsari","Surabaya, Jawa Timur",0315326720
3324,UPC KARANG MENJANGAN,CP DINOYOTANGSI,JL. KARANG MENJANGAN NO 127.SURABAYA,"Mojo, Gubeng","Surabaya, Jawa Timur",0315998282
3325,UPC KERTAJAYA,CP DINOYOTANGSI,JL. KERTAJAYA NO 18. SURABAYA,"Kertajaya, Gubeng","Surabaya, Jawa Timur",0315025281
3326,UPC PADEGILING,CP DINOYOTANGSI,JL. KAMPUNG MALANG TENGAH I NO 53. SBY,"Tegalsari, Tegalsari","Surabaya, Jawa Timur",0315482868
3327,UPC PASAR KEMBANG,CP DINOYOTANGSI,JL. PASAR KEMBANG NO.119. SURABAYA,"Wonorejo, Tegalsari","Surabaya, Jawa Timur",0315346719
3328,UPC DHARMAWANGSA,CP DINOYOTANGSI,JL. DHARMAWANGSA NO 35. SURABAYA,"Gubeng, Gubeng","Surabaya, Jawa Timur",0315010323
3329,UPC PASAR PUCANG ANOM,CP DINOYOTANGSI,JALAN PUCANG SEWU VII / I,"Pucang Sewu, Gubeng","Surabaya, Jawa Timur",0315039241
3330,UPC MALL CITO,CP WONOKROMO,"CITO MALL, WARU SURABAYA","Dukuh Menanggal, Gayungan","Surabaya, Jawa Timur",03158251152
3331,UPC DUKUH KUPANG,CP WONOKROMO,JALAN HR.MUHAMMAD NO.357,"Putat Gede, Sukomanunggal","Surabaya, Jawa Timur",0317324353
3332,UPC KUPANG JAYA,CP WONOKROMO,JALAN KUPANG JAYA NO.16,"Simomulyo, Sukomanunggal","Surabaya, Jawa Timur",0317316039
3333,UPC DUKUH BARU,CP WONOKROMO,JALAN DUKUH KUPANG NO.214B,"Dukuh Kupang, Dukuh Pakis","Surabaya, Jawa Timur",0315671390
3334,UPC GUNUNGSARI,CP WONOKROMO,JALAN RAYA GUNUNGSARI 213H,"Sawunggaling, Wonokromo","Surabaya, Jawa Timur",0315682991
3335,UPC AHMAD YANI,CP WONOKROMO,JL.RAYA MENANGGAL V NO 09,"Menanggal, Gayungan","Surabaya, Jawa Timur",0318295583
3336,UPC ROYAL PLAZA,CP WONOKROMO,"ROYAL PLAZA LT. GROUND BLOK C05-17, JALAN ACHMAD YANI NO. 16-18","Ketintang, Gayungan","Surabaya, Jawa Timur",0318271585
3337,UPC KAPASAN,CP KALIANYAR,JALAN GEMBONG SAWAH 28 SURABAYA,"Kapasan, Simokerto","Surabaya, Jawa Timur",0313712854
3338,UPC PASAR ATOM,CP KALIANYAR,JL. WASPADA NO.44 SURABAYA,"Bongkaran, Pabean Cantikan","Surabaya, Jawa Timur",085105055200
3339,UPC PASAR SIDOTOPO,CP KALIANYAR,JALAN RAYA SIDOTOPO LOR 63 SURABAYA,"Sidotopo, Semampir","Surabaya, Jawa Timur",0313718584
3340,UPC ITC MALL,CP KALIANYAR,ITC MALL LT GROUND BLOK C-25 NO 6,"Kapasan, Simokerto","Surabaya, Jawa Timur",0313743239
3341,UPC KENJERAN,CP KALIANYAR,BG JUNCTION MALL LANTAI GROUND LEVEL D17 D25,"Bubutan, Bubutan","Surabaya, Jawa Timur",082143646017
3342,UPC PASAR KAPAS KRAMPUNG,CP KALIANYAR,JALAN KAPAS KRAMPUNG NO. 138 I,"Ploso, Tambaksari","Surabaya, Jawa Timur",0315030260
3343,UPC PACAR KELING,CP KALIANYAR,JALAN PACAR KELING NO. 24,"Pacar Keling, Tambaksari","Surabaya, Jawa Timur",0315041797
3344,UPC SIDORAME,CP BENTENG,JALAN NYAMPLUNGAN NO. 223,"Ampel, Semampir","Surabaya, Jawa Timur",0313545359
3345,UPC WONOSARI LOR,CP BENTENG,JALAN WONOSARI LOR NO.99,"Wonokusumo, Semampir","Surabaya, Jawa Timur",0313713092
3346,UPC PASAR PPI,CP BENTENG,JALAN GRESIK PPI 5/1,"Moro Krembangan, Krembangan","Surabaya, Jawa Timur",0313558563
3347,UPC PASAR TELUK ARU,CP BENTENG,JALAN TELUK ARU UTARA NO.43,"Perak Utara, Pabean Cantikan","Surabaya, Jawa Timur",0313298691
3348,UPC PASAR BULAK BANTENG,CP BENTENG,JALAN BULAK BANTENG MADYA NO.129,"Wonokusumo, Semampir","Surabaya, Jawa Timur",0313734519
3349,UPC WONOKUSUMO,CP BENTENG,JALAN WONOKUSUMO NO.85,"Wonokusumo, Semampir","Surabaya, Jawa Timur",0313770563
3350,UPC DUPAKRUKUN,CP BENTENG,JALAN RAYA DUPAK RUKUN NO 79,"Asemrowo, Asemrowo","Surabaya, Jawa Timur",0315314604
3351,UPC DEMAK,CP BENTENG,JALAN RAYA DEMAK NO 370C,"Jepara, Bubutan","Surabaya, Jawa Timur",0313537889
3352,UPC PC PACUAN KUDA,CP BENTENG,JALAN PACUAN KUDA NO 51,"Petemon, Sawahan","Surabaya, Jawa Timur",0315352432
3353,UPC PASAR SIDOHARJO,CP LAMONGAN,JALAN SUNAN DRAJAD NO 185,"Sidoharjo, Lamongan","Lamongan, Jawa Timur",0322312110
3354,UPC PANGLIMA SUDIRMAN,CP LAMONGAN,JALAN PANGLIMA SUDIRMAN NO 28,"Sidokumpul, Lamongan","Lamongan, Jawa Timur",0322318410
3355,UPC DUDUK SAMPEYAN,CP LAMONGAN,JALAN RAYA DUDUK SAMPEYAN,"Duduk Sampeyan, Duduk Sampeyan","Gresik, Jawa Timur",0313904691
3356,UPC PACIRAN,CP SEDAYU,JALAN RAYA BLIMBING,"Blimbing, Paciran","Lamongan, Jawa Timur",0322661151
3357,UPC PASAR BLIMBING,CP SEDAYU,JALAN NIAGA PASAR BLIMBING,"Blimbing, Paciran","Lamongan, Jawa Timur",0322665505
3358,UPC KRANJI,CP SEDAYU,JALAN KRANJI DEPAN KANTOR BALAI DESA KRANJI,"Blimbing, Paciran","Lamongan, Jawa Timur",0322665504
3359,UPC SEKAPUK,CP SEDAYU,JALAN RAYA SEKAPUK,"Sidorukun, Gresik","Gresik, Jawa Timur",0313944151
3360,UPC BUNGAH,CP SEDAYU,JALAN RAYA BUNGAH SIDAYU DUSUN NONGKOKEREP,"Bungah, Bungah","Gresik, Jawa Timur",0313949758
3361,UPC ROMO,CP GRESIK,JALAN RAYA SUKOMULYO,"Sukomulyo, Manyar","Gresik, Jawa Timur",0313958518
3362,UPC PASAR GRESIK,CP GRESIK,JALAN USMAN SADAR NO.18,"Karangturi, Gresik","Gresik, Jawa Timur",0313980982
3363,UPC GKB,CP GRESIK,JALAN BANGKA NO.1 A PERUMAHAN GKB,"Yosowilangun, Manyar","Gresik, Jawa Timur",0313958713
3364,UPC SIDOMORO,CP GRESIK,JALAN KAPTEN DULLASIM NO.21,"Sidomoro, Kebomas","Gresik, Jawa Timur",0313970942
3365,UPC SANGKAPURA,CP GRESIK,JALAN UMAR MAS'UD NO.39,"Kota Kusuma, Sangkapura","Gresik, Jawa Timur",0325421881
3366,UPC TAMBAK,CP GRESIK,JALAN RAYA TAMBAK BAWEAN,"Tambak, Tambak","Gresik, Jawa Timur",0325411373
3367,UPC SURAMADU,CP MULYOSARI,JALAN N. KEDUNG COWEK 140 SURABAYA,"Bulak, Bulak","Surabaya, Jawa Timur",03151500767
3368,UPC KEPUTIH,CP MULYOSARI,"JALAN ARIF RAHMAN HAKIM 90 ,KEPUTIH SURABAYA","Keputih, Sukolilo","Surabaya, Jawa Timur",0315998229
3369,UPC PASAR POGOT,CP MULYOSARI,"JALAN PASAR POGOT, SIDOTOPO SURABAYA","Tanah Kali Kedinding, Kenjeran","Surabaya, Jawa Timur",0313719969
3370,UPC GADING,CP MULYOSARI,JALAN RAYA KENJERAN 319 SURABAYA,"Kenjeran, Bulak","Surabaya, Jawa Timur",0313824640
3371,UPC MANYAR,CP BRATANG,JALAN RAYA MANYAR 79,"Nginden Jangkungan, Sukolilo","Surabaya, Jawa Timur",0315914580
3372,UPC PASAR KEDUNG BARUK,CP BRATANG,JALAN RAYA KEDUNG ASEM NO.59,"Kedung Baruk, Rungkut","Surabaya, Jawa Timur",0318783617
3373,UPC PASAR NGAGEL REJO,CP BRATANG,JALAN NGAGEL REJO KIDUL NO.71,"Ngagelrejo, Wonokromo","Surabaya, Jawa Timur",0315041047
3374,UPC BENDUL MERISI,CP BRATANG,JALAN BENDUL MERISI NO.111,"Bendul Merisi, Wonocolo","Surabaya, Jawa Timur",0318494489
3375,UPC MARGOREJO,CP BRATANG,JALAN RAYA MARGOREJO NO 115J,"Margorejo, Wonocolo","Surabaya, Jawa Timur",0318483645
3376,CP MOJOKERTO,Wilayah 12 Surabaya,JALAN W.R. SUPRATMAN NO. 30 JAWA TIMUR,"Purwotengah, Magersari","Mojokerto, Jawa Timur",0321322749
3377,CP SIDOARJO,Wilayah 12 Surabaya,JALAN MOJOPAHIT NO.116,"Celep, Sidoarjo","Sidoarjo, Jawa Timur",0318941177
3378,CP GEDANGAN,Wilayah 12 Surabaya,JALAN KH MUKMIN NO. 6,"Gedangan, Gedangan","Sidoarjo, Jawa Timur",0318910141
3379,CP MANUKAN,Wilayah 12 Surabaya,JALAN MANUKAN TAMA 45M,"Manukan Kulon, Tandes","Surabaya, Jawa Timur",0317405750
3380,CP WIYUNG,Wilayah 12 Surabaya,RUKO BABATAN PRATAMA NO. A-1 WIYUNG,"Wiyung, Wiyung","Surabaya, Jawa Timur",0317527686
3381,CP JEMURSARI,Wilayah 12 Surabaya,JALAN RAYA KENDANG SARI NO 85,"Tenggilis Mejoyo, Tenggilis Mejoyo","Surabaya, Jawa Timur",0318417213
3382,CP MOJOSARI,Wilayah 12 Surabaya,JL MASJID NO 100,"Mojosari, Mojosari","Mojokerto, Jawa Timur",0321591151
3383,CP SEPANJANG,Wilayah 12 Surabaya,JL RAYA KALIJATEN NO.129 SEPANJANG,"Kalijaten, Taman","Sidoarjo, Jawa Timur",0317881250
3384,UPC BULANG,CP MOJOSARI,JALAN RAYA BULANG,"Bulang, Prambon","Sidoarjo, Jawa Timur",0318852947
3385,UPC KRIAN,CP MOJOSARI,JL GUBERNUR SUNANDAR 43,"Krian, Krian","Sidoarjo, Jawa Timur",0318971374
3386,UPC PASAR KRIAN,CP MOJOSARI,JL BASUKI RAHMAD NO 420 KRIAN,"Krian, Krian","Sidoarjo, Jawa Timur",0318984787
3387,UPC DRIYOREJO,CP MOJOSARI,JL DRIYOREJO 92,"Driyorejo, Driyorejo","Gresik, Jawa Timur",0317591920
3388,UPC LEGUNDI,CP MOJOSARI,JL RAYA LEGUNDI,"Krikilan, Driyorejo","Gresik, Jawa Timur",085850287081
3389,UPC NGORO INDUSTRI,CP MOJOSARI,JL AIRLANGGA NO 169A,"Ngoro, Ngoro","Mojokerto, Jawa Timur",03216817876
3390,UPC GELURAN,CP SEPANJANG,JALAN IMAM BONJOL NO.4 GELURAN,"Geluran, Taman","Sidoarjo, Jawa Timur",0317883962
3391,UPC PAGESANGAN,CP SEPANJANG,JALAN KEBONSARI IV/23,"Kebonsari, Jambangan","Surabaya, Jawa Timur",0318272440
3392,UPC CITRA HARMONY,CP SEPANJANG,KOMPLEK RUKO CITRA HARMONI KG-9 TROSOBO,"Trosobo, Taman","Sidoarjo, Jawa Timur",0317887665
3393,UPC SOOKO,CP MOJOKERTO,JLN RAYA SURODINAWAN,"Surodinawan, Prajurit Kulon","Mojokerto, Jawa Timur",0321392275
3394,UPC KEBOAN,CP MOJOKERTO,JALAN RAYA KEBOAN JAWA TIMUR,"Keboan, Ngusikan","Jombang, Jawa Timur",0321888325
3395,UPC DELANGGU,CP MOJOKERTO,JALAN RAYA PACET NO 8 DLANGGU JAWA TIMUR,"Dlanggu, Dlanggu","Mojokerto, Jawa Timur",0321510138
3396,UPC BRANGKAL,CP MOJOKERTO,JALAN R.A BASUNI 25 SOOKO MOJOKERTO,"Japan, Sooko","Mojokerto, Jawa Timur",0321392972
3397,UPC JAYANEGARA,CP MOJOKERTO,JALAN JAYANEGARA NO 216 JAWA TIMUR,"Medali, Puri","Mojokerto, Jawa Timur",0321321134
3398,UPC SEKARPUTIH,CP MOJOKERTO,JALAN EMPUNALA NO 529 JAWA TIMUR,"Kedundung, Magersari","Mojokerto, Jawa Timur",0321321181
3399,UPC BUDURAN,CP SIDOARJO,JALAN RAYA BUDURAN NO.119,"Buduran, Buduran","Sidoarjo, Jawa Timur",0318960224
3400,UPC KOTA SIDOARJO,CP SIDOARJO,RUKO GRAHA ANGGREK MAS C 26,"Pagerwojo, Buduran","Sidoarjo, Jawa Timur",03199703200
3401,UPC PORONG,CP SIDOARJO,RUKO NO 999 JL. RAYA JUWET KENONGO,"Juwet Kenongo, Porong","Sidoarjo, Jawa Timur",0343850334
3402,UPC TANGGULANGIN,CP SIDOARJO,JALAN RAYA KLUDAN NO.06,"Kludan, Tanggulangin","Sidoarjo, Jawa Timur",085655377551
3403,UPC SUKO SDA,CP SIDOARJO,JALAN RAYA SUKO NO.3,"Suko, Sidoarjo","Sidoarjo, Jawa Timur",0318069098
3404,UPC BHAYANGKARI,CP SIDOARJO,JL RAYA NGAMPELSARI,"Ngampelsari, Candi","Sidoarjo, Jawa Timur",089617256230
3405,UPC TULANGAN,CP SIDOARJO,"JALAN RAYA KENONGO NO. 31, TULANGAN","Tulangan, Tulangan","Sidoarjo, Jawa Timur",0318856335
3406,UPC MALL SUN CITY SIDOARJO,CP GEDANGAN,JL PAHLAWAN LT 3 C41,"Jati, Sidoarjo","Sidoarjo, Jawa Timur",0318076129
3407,UPC ALOHA,CP GEDANGAN,JALAN ARYO BABANGAH,"Gedangan, Gedangan","Sidoarjo, Jawa Timur",0318551510
3408,UPC PASAR KALANGANYAR,CP GEDANGAN,JALAN RAYA BUNCITAN,"Buncitan, Sedati","Sidoarjo, Jawa Timur",081336894263
3409,UPC BUNGURASIH,CP GEDANGAN,JALAN LETJEN SUTOYO NO. 53 MEDAENG WARU,"Medaeng, Waru","Sidoarjo, Jawa Timur",0318548966
3410,UPC PASAR BETROH,CP GEDANGAN,"JALAN GARUDA NO.07 BLOK A-7 PASAR BETRO,SEDATI","Banjar Kemuning, Sedati","Sidoarjo, Jawa Timur",0318690473
3411,UPC SEDATI,CP GEDANGAN,"JALAN SEDATI,JUANDA SURABAYA","Banjar Kemuning, Sedati","Sidoarjo, Jawa Timur",0318667466
3412,UPC DELTASARI,CP GEDANGAN,PERUM DELTASARI BLOK AM 1 - KUREKSARI WARU SIDOARJO,"Tropodo, Waru","Sidoarjo, Jawa Timur",0318550431
3413,UPC BALONGSARI,CP MANUKAN,JALAN RAYA BALONGSARI NO.24,"Balong Sari, Tandes","Surabaya, Jawa Timur",0317420088
3414,UPC BALONGPANGGANG,CP MANUKAN,JALAN RAYA BALONGPANGGANG TIMUR NO.24,"Balongpanggang, Balong Panggang","Gresik, Jawa Timur",0317923122
3415,UPC CERME,CP MANUKAN,JALAN RAYA CERME KIDUL 126,"Cerme Kidul, Cerme","Gresik, Jawa Timur",0317992687
3416,UPC BENOWO,CP MANUKAN,JALAN RAYA BENOWO 2A,"Benowo, Pakal","Surabaya, Jawa Timur",0317400753
3417,UPC BANYUURIP,CP MANUKAN,JALAN RAYA BANYUURIP 150B,"Banyu Urip, Sawahan","Surabaya, Jawa Timur",0315465754
3418,UPC MASTRIP,CP WIYUNG,JALAN RAYA MASTRIP BOGANGIN NO.29,"Karangpilang, Karangpilang","Surabaya, Jawa Timur",0317667584
3419,UPC MENGANTI,CP WIYUNG,JALAN RAYA MENGANTI NO.10,"Laban, Menganti","Gresik, Jawa Timur",0317912058
3420,UPC PASAR KARAH,CP WIYUNG,JALAN KEBON AGUNG NO.50,"Jambangan, Jambangan","Surabaya, Jawa Timur",0318286275
3421,UPC LAKARSANTRI,CP WIYUNG,JALAN RAYA MENGANTI NO.40,"Jajartunggal, Wiyung","Surabaya, Jawa Timur",0317521703
3422,UPC KEDURUS,CP WIYUNG,JALAN DK GOGOR NO.03,"Jajartunggal, Wiyung","Surabaya, Jawa Timur",0317664993
3423,UPC LONTAR,CP WIYUNG,JALAN LONTAR NO.252,"Lontar, Sambikerep","Surabaya, Jawa Timur",0317527721
3424,UPC WADUNGASRI,CP JEMURSARI,KOMPLEK RUKO WADUNGASRI REGENCY BLOK A8,"Tropodo, Waru","Sidoarjo, Jawa Timur",0318662347
3425,UPC REWWIN,CP JEMURSARI,KOMP. RUKO GRAHA NIAGA JL. BRIGJEN KATOMSO 19 REWWIN,"Tropodo, Waru","Sidoarjo, Jawa Timur",0318551162
3426,UPC RUNGKUT TENGAH,CP JEMURSARI,JALAN RAYA RUNGKUT KIDUL INDUSTRI NO 1 F,"Rungkut Kidul, Rungkut","Surabaya, Jawa Timur",0318476786
3427,UPC PASAR WADUNG ASRI,CP JEMURSARI,JL RAYA KUNDI NO 70A. TAMBAK REJO,"Tropodo, Waru","Sidoarjo, Jawa Timur",0318667465
3428,UPC GEDONGAN,CP JEMURSARI,JALAN RAYA WADUNG ASRI NO. 92 SURABAYA.,"Tropodo, Waru","Sidoarjo, Jawa Timur",0318669690
