,kanwil,cabang,jalan,des_kec,kab_prov,telepon
89,UPC PRINTIS,CP GAHARU,JALAN PURWO NO. 1A,"Perintis, Medan Timur","Medan, Sumatera Utara",0614152854
90,UPC GLUGUR,CP GAHARU,JALAN KLY SUDARSO N0. 50/80,"Glugur Kota, Medan Barat","Medan, Sumatera Utara",081269932823
91,UPC DISKI,CP KP LALANG,JALAN BINJAI KM14.5,"Tanjung Selamat, Sunggal","Deli Serdang, Sumatera Utara",0618825113
92,UPC PONDOK KELAPA,CP KP LALANG,JALAN RAJAWALI,"Simpang Tanjung, Medan Sunggal","Medan, Sumatera Utara",085362774169
93,UPC KLAMBIR LIMA,CP KP LALANG,JALAN SETIA NO.23B,"Tanjung Gusta, Medan Helvetia","Medan, Sumatera Utara",081318153613
94,UPC RING ROAD,CP KP LALANG,JALAN RING ROAD PSR I NO.10,"Tanjung Sari, Medan Selayang","Medan, Sumatera Utara",082165196198
95,UPC SEMAYANG,CP KP LALANG,JALAN BINJAI KM.12.5 NO.39 SIMP KOMPOS,"Tanjung Selamat, Sunggal","Deli Serdang, Sumatera Utara",08116171648
96,UPC MEDAN KRIYO,CP KP LALANG,JALAN BINJAI KM.12.5 NO.39 SIMP KOMPOS,"Tanjung Selamat, Sunggal","Deli Serdang, Sumatera Utara",0618741348
97,UPC TITI PAPAN,CP PULO BRAYAN,JALAN YOS SUDARSO NO. 51A,"Titi Papan, Medan Deli","Medan, Sumatera Utara",0616855153
98,UPC VETERAN,CP PULO BRAYAN,JALAN VETERAN PASAR VII NO. 48,"Telaga Tujuh, Labuhan Deli","Deli Serdang, Sumatera Utara",0616840352
99,UPC MABAR,CP PULO BRAYAN,JALAN MANGAAN IV NO 104,"Mabar, Medan Deli","Medan, Sumatera Utara",0616852968
100,UPC PASAR HELVETIA,CP HELVETIA,JALAN NUSA INDAH RAYA BLOK 13 NO.11,"Helvetia Timur, Medan Helvetia","Medan, Sumatera Utara",0618459245
101,UPC SEI SIKAMBING,CP HELVETIA,JALAN GATOT SUBROTO NO.118C,"Dwi Kora, Medan Helvetia","Medan, Sumatera Utara",0618475575
102,UPC PLASA MILENIUM,CP HELVETIA,JALAN SETIA LUHUR KOMPLEK TATA PLAZA BLOK B NO.65,"Dwi Kora, Medan Helvetia","Medan, Sumatera Utara",0618443082
103,UPC GATOT SUBROTO,CP MEDAN PETISAH,JALAN GATOT SUBROTO,"Sei Putih Timur I, Medan Petisah","Medan, Sumatera Utara",08116171673
104,UPC SEKIP,CP MEDAN PETISAH,JALAN SEKIP NO. 80A,"Sei Putih Timur I, Medan Petisah","Medan, Sumatera Utara",0614524394
105,UPC MEDAN FAIR,CP MEDAN PETISAH,JALAN GATOT SUBROTO PLAZA MEDAN FAIR LT 1 ZONE 1 N,"Sei Putih Timur I, Medan Petisah","Medan, Sumatera Utara",0614140450
106,CP LUBUK PAKAM,Wilayah 1 Medan,JALAN DIPONEGORO NO.99,"Bakaran Batu, Lubuk Pakam","Deli Serdang, Sumatera Utara",0617951065
107,CP PERBAUNGAN,Wilayah 1 Medan,JALAN SERDANG NO. 26,"Simpang Tiga Pekan, Perbaungan","Serdang Bedagai, Sumatera Utara",0617990233
108,CP GUNUNG SITOLI,Wilayah 1 Medan,JALAN JEND.SUDIRMAN NO.2,"Pasar Gunung Sitoli, Gunungsitoli","Gunungsitoli, Sumatera Utara",085358036048
109,CP SERBALAWAN,Wilayah 1 Medan,JALAN TANAH LAPANG NO 05 SERBELAWAN,"Serbelawan, Dolok Batu Nanggar","Simalungun, Sumatera Utara",062264077
110,CP TEBING TINGGI,Wilayah 1 Medan,JALAN PUSARA PEJUANG NO.16,"Rambung, Tebing Tinggi Kota","Tebing Tinggi, Sumatera Utara",062121946
111,CP SIMPANG LIMUN,Wilayah 1 Medan,JALAN SAKTI LUBIS NO. 24,"Sitirejo II, Medan Amplas","Medan, Sumatera Utara",085362324422
112,CP MANDALA,Wilayah 1 Medan,JALAN PUKAT II NO.9A,"Bantan Timur, Medan Tembung","Medan, Sumatera Utara",0617354973
113,CP PRINGGAN,Wilayah 1 Medan,JALAN SEI BAHOROK NO.2,"Babura, Medan Baru","Medan, Sumatera Utara",0614559695
114,CP PASAR MERAH,Wilayah 1 Medan,JALAN GEDUNG ARCA NO.6,"Pasar Merah Timur, Medan Area","Medan, Sumatera Utara",0617365961
115,CP TANJUNG MORAWA,Wilayah 1 Medan,JALAN SIMPANG KAYU BESAR NO 6,"Limau Manis, Tanjung Morawa","Deli Serdang, Sumatera Utara",0617945865
116,CP PADANG BULAN,Wilayah 1 Medan,JALAN LETJEN JAMIN GINTING NO. 643 KP.20155,"Padang Bulan, Medan Baru","Medan, Sumatera Utara",0618227574
117,CP SETIA BUDI,Wilayah 1 Medan,JALAN SETIA BUDI KOMP. RUKO MILALA MAS BLOK B NO.04,"Tanjung Rejo, Medan Sunggal","Medan, Sumatera Utara",082167478551
118,UPC GALANG,CP LUBUK PAKAM,JALAN PERINTIS KEMERDEKAAN,"Timbang Deli, Galang","Deli Serdang, Sumatera Utara",0617981279
119,UPC DELI MAS,CP LUBUK PAKAM,JALAN SERDANG GEDUNG PLAZA DELIMAS LT.1,"Bakaran Batu, Lubuk Pakam","Deli Serdang, Sumatera Utara",0617956990
120,UPC CEMARA,CP LUBUK PAKAM,JALAN GALANG NO.364 C,"Cemara, Lubuk Pakam","Deli Serdang, Sumatera Utara",0617957016
121,UPC KUALA NAMU,CP LUBUK PAKAM,JALAN BESAR PANTE LABU,"Tumpatan, Beringin","Deli Serdang, Sumatera Utara",0617954442
122,UPC PASAR BENGKEL,CP PERBAUNGAN,JALAN BESAR MEDAN - TEBING TINGGI,"Jambur Pulau, Perbaungan","Serdang Bedagai, Sumatera Utara",0617990733
123,UPC PETUMBUKAN,CP PERBAUNGAN,JALAN SIMPANG RUMAH SAKIT,"Timbang Deli, Galang","Deli Serdang, Sumatera Utara",081362984295
124,UPC PEKAN DOLOK MASIHUL,CP PERBAUNGAN,JALAN SUDIRMAN NO. 90,"Pekan Dolok Masihul, Dolok Masihul","Serdang Bedagai, Sumatera Utara",0621391084
125,UPC SUNGAI RAMPAH,CP PERBAUNGAN,JALAN SUDIRMAN NO.85,"Rambung Sialang Hilir, Sei Rampah","Serdang Bedagai, Sumatera Utara",062141057
126,UPC TELUK DALAM,CP GUNUNG SITOLI,JALAN SAONIGEHO KM 1,"Lagundri, Teluk Dalam","Nias Selatan, Sumatera Utara",081380486507
127,UPC LAHEWA,CP GUNUNG SITOLI,JALAN DZ MARUNDURI,"Sitolu Banua, Lahewa","Nias Utara, Sumatera Utara",08126463628
128,UPC DIPONEGORO,CP GUNUNG SITOLI,JALAN DIPONEGORO NO.327,"Ilir, Gunungsitoli","Gunungsitoli, Sumatera Utara",085260381010
129,UPC IDANAGAWO,CP GUNUNG SITOLI,JALAN DIPONEGORO,"Tuhewaebu, Idano Gawo","Nias, Sumatera Utara",081260642108
130,UPC KERASAAN,CP SERBALAWAN,LINGKUNGAN X PEKAN KERASAAN,"Pematang Sidamanik, Pematang Sidamanik","Simalungun, Sumatera Utara",08116171713
131,UPC BANGUN,CP SERBALAWAN,"JALAN ASAHAN KM 10,5 NAGORI BANGUN","Parhundalian Jawadipar, Hatonduhan","Simalungun, Sumatera Utara",08116171714
132,UPC BATU ENAM,CP SERBALAWAN,JALAN AKASIA RAYA NO. 51,"Rambung Merah, Siantar","Simalungun, Sumatera Utara",06227550255
133,UPC KAMPUNG PON,CP TEBING TINGGI,JALAN BESAR KAMPUNG PON,"Rambung Sialang Hilir, Sei Rampah","Serdang Bedagai, Sumatera Utara",085362573283
134,UPC PASAR BULIAN,CP TEBING TINGGI,JALAN KF.TANDEAN NO.254,"Bandar Sakti, Bajenis","Tebing Tinggi, Sumatera Utara",085362573285
135,UPC SRI PADANG,CP TEBING TINGGI,JALAN SUDIRMAN NO.4,"Mekar Sentosa, Rambutan","Tebing Tinggi, Sumatera Utara",085362573284
136,UPC DELITUA,CP SIMPANG LIMUN,JALAN BESAR DELI TUA NO. 17,"Mekar Sari, Deli Tua","Deli Serdang, Sumatera Utara",085373794665
137,UPC KARYA WISATA,CP SIMPANG LIMUN,JALAN KARYA WISATA NO. 20 KOMP. CITRA WISATA,"Gedung Johor, Medan Johor","Medan, Sumatera Utara",085373794773
138,UPC SEKSAMA,CP SIMPANG LIMUN,JALAN M. NAWI HARAHAP N0. 176,"Binjai, Medan Denai","Medan, Sumatera Utara",085373794644
139,UPC BAJAK,CP SIMPANG LIMUN,JALAN BAJAK II NO. 24-A,"Harjosari II, Medan Amplas","Medan, Sumatera Utara",085373794770
140,UPC KARYA JAYA,CP SIMPANG LIMUN,JALAN BESAR NAMORAMBE NO. 6-E,"Bekukul, Namo Rambe","Deli Serdang, Sumatera Utara",085373794633
141,UPC MARINDAL,CP SIMPANG LIMUN,JALAN SM. RAJA N0. 15-A,"Harjosari II, Medan Amplas","Medan, Sumatera Utara",085373794667
142,UPC TEMBUNG,CP MANDALA,JL. M YAKUB LUBIS NO.12,"Bandar Khalifah (Klippa), Percut Sei Tuan","Deli Serdang, Sumatera Utara",0617384905
143,UPC PASAR GARUDA,CP MANDALA,JALAN GARUDA II NO.26A,"Kenangan, Percut Sei Tuan","Deli Serdang, Sumatera Utara",08116171590
144,UPC PASAR SEMBILAN,CP MANDALA,JALAN BESAR MEDAN BATANG KUIS NO.17C,"Bandar Khalifah (Klippa), Percut Sei Tuan","Deli Serdang, Sumatera Utara",0617384026
145,UPC MANDALA BY PASS,CP MANDALA,JALAN MANDALA BY PASS NO.106/90,"Tegal Sari Mandala I, Medan Denai","Medan, Sumatera Utara",0617361293
146,UPC PANGLIMA DENAI,CP MANDALA,JALAN PANGLIMA DENAI NO.117,"Denai, Medan Denai","Medan, Sumatera Utara",0617330993
147,UPC BANDAR SELAMAT,CP MANDALA,JALAN LETDA SUJONO NO.54,"Bandar Selamat, Medan Tembung","Medan, Sumatera Utara",0617333361
148,UPC MEDAN DENAI,CP MANDALA,JALAN DENAI NO. 168C,"Tegal Sari Mandala II, Medan Denai","Medan, Sumatera Utara",085362323470
149,UPC BROMO,CP MANDALA,JALAN BROMO NO.5,"Binjai, Medan Denai","Medan, Sumatera Utara",0617321420
150,UPC MONGONSIDI,CP PRINGGAN,JALAN MONGINSIDI NO.50,"Polonia, Medan Polonia","Medan, Sumatera Utara",0614532050
151,UPC DARUSSALAM,CP PRINGGAN,JALAN DARUSALAM NO.2,"Sei Sikambing D, Medan Petisah","Medan, Sumatera Utara",0614145756
152,UPC BABURA,CP PRINGGAN,JALAN DARUSALAM NO.60,"Babura Sunggal, Medan Sunggal","Medan, Sumatera Utara",0614520649
153,UPC ZAINUL ARIFIN,CP PRINGGAN,JALAN ZAINUL ARIFIN NO.111/125,"Anggrung, Medan Polonia","Medan, Sumatera Utara",0614574940
154,UPC MENTENG,CP PASAR MERAH,JALAN MENTENG VII NO. 96B,"Binjai, Medan Denai","Medan, Sumatera Utara",0617872025
155,UPC PELAJAR,CP PASAR MERAH,JALAN PELAJAR NO. 101B,"Pasar Merah Timur, Medan Area","Medan, Sumatera Utara",0617357089
156,UPC AMALIUN,CP PASAR MERAH,JALAN AMALIUN NO. 50,"Kota Matsum IV, Medan Area","Medan, Sumatera Utara",0617358811
157,UPC HM JONI,CP PASAR MERAH,JALAN HM. JONI NO. 197B,"Pasar Merah Timur, Medan Area","Medan, Sumatera Utara",0617320049
158,UPC BATANG KUIS,CP TANJUNG MORAWA,JALAN UTAMA NO 37,"Bakaran Batu, Batang Kuis","Deli Serdang, Sumatera Utara",0617388408
159,UPC PASAR TANJUNG MORAWA,CP TANJUNG MORAWA,JALAN PERINTIS KEMERDEKAAN NO 46,"Pekan Tanjung Morawa, Tanjung Morawa","Deli Serdang, Sumatera Utara",0617944351
160,UPC SIMPANG AMPLAS,CP TANJUNG MORAWA,JALAN PERTAHANAN NO 46 B,"Timbang Deli, Medan Amplas","Medan, Sumatera Utara",06188807403
161,UPC SUZUYA PLAZA,CP TANJUNG MORAWA,JALAN MEDAN-L.PAKAM KOMP. RUKO SUZUYA PLAZA B4,"Tanjung Morawa A, Tanjung Morawa","Deli Serdang, Sumatera Utara",0617945154
162,UPC SIMALINGKAR,CP PADANG BULAN,JALAN LETJEN JAMIN GINTING KM. 8.5 NO. 1B KP. 2014,"Mangga, Medan Tuntungan","Medan, Sumatera Utara",085362866025
163,UPC SIMALINGKAR II,CP PADANG BULAN,JALAN TEMBAKAU RAYA NO.. 38 PERUMNAS SIMALINGKAR K,"Mangga, Medan Tuntungan","Medan, Sumatera Utara",085362866026
164,UPC KWALA BEKALA,CP PADANG BULAN,JALAN LUKU I NO. 61 KP. 20142,"Kwala Bekala, Medan Johor","Medan, Sumatera Utara",085362866027
165,UPC PASAR SIMALINGKAR,CP PADANG BULAN,JALAN CENGKEH RAYA NO. 75 KP. 20141,"Mangga, Medan Tuntungan","Medan, Sumatera Utara",085362866028
166,UPC MANGGA,CP PADANG BULAN,"JALAN DJAMIN GINTING KM 9,5 NO. 130 KP. 20141","Mangga, Medan Tuntungan","Medan, Sumatera Utara",085362866029
